Title;Content;Region;Categorie;Adresse;Phone;_company_website
Casa Nostra;C’est sur la place de l’église de Limonest avec une grande terrasse pour les jours ensoleillés que Kevin a élu domicile, encouragé par ses parents qui l’aident au quotidien à cette Casa Nostra, qui est la leur. Pour régaler ses hôtes, on retrouve dans ses assiettes une parmigiana dont le secret reste familial, une salade d’antipastis authentique ou les boulettes de sa Nonna . Les pizzas sont à l’honneur avec un vrai four à bois, et une pizza bianca parme particulièrement plébiscitée au jambon de parme, roquette et mozzarelle. Il faudra garder une place pour le dessert car ceux-ci sauront vous étonner par leur créativité. UNE ADRESSE PAS COMME LES AUTRES, OÙ LA CUISINE EST UN PATRIMOINE FAMILIAL QU’IL FAUT ENTRETENIR ET PARTAGER.;Limonest;Restaurant;5 Place Decurel, 69760 Limonest;04 74 71 50 39;https://restaurant-limonest.com/
Tipico;Tipico est l’Epicerie Conviviale italienne qui vous propose la meilleure sélection de produits gastronomiques et de vins provenant d’Italie et vous permet de déguster sur place des plats authentiques et traditionnels, le tout dans une ambiance familiale et chaleureuse : un petit voyage en Italie, par les soins de Alessandro et Simone. Mozzarella et burrata di bufala authentiques, artisanales, sans conservateurs, pâtes artisanales fraîches et sèches, huile d’olive des petits producteurs régionaux, les tomates du Vésuve réputée pour leur goût unique, une ample gamme de vins de vif vérins sélectionnés, gâteaux et gourmandises de la tradition. Tous les midis, il est possible de découvrir une carte simple mais très représentative de la gastronomie italienne et qui change toutes les semaines, selon les arrivages et les saisonnalités:  des pâtes et des risottos fait sur le moment, des entrées réalisées avec nos produits frais, des desserts maison ou des dégustations des spécialités provenant des meilleurs artisans d’italie. Soirées et dîner à thèmes et déontologie organisés régulièrement.;Lyon 1;Epicerie;10 Rue de la Martinière, 69001 Lyon;04 72 02 29 91;http://www.tipico-lyon.fr/
Mangiabuono;L’épicerie italienne du 1er arrondissement ! Chez Mangiabuono on retrouve des produits frais 100% italiens. Charcuteries, fromages, pâtes fraiches, antipasti, huiles et condiments, vins, sauces, douceurs, mais aussi authentiques panini et assiettes gourmandes le midi. Pour l’aperitivo on peut commander des plateaux sur mesure;Lyon 1;Epicerie;48, Rue Sergent Blandan, 69001;09 86 71 69 45;http://www.mangiabuono.fr/
Wazza;Un concept à part(s) ! Chez Wazza on retrouve des pizzas cuites au feu de bois, une pâte faite maison à fermentation lente (72h minimum), agrémentées de produits 100% frais, sélectionnés avec grand soin et principalement français. Avec un look design & urbain, Wazza propose un incontournable italien, un savoir-faire français et une tendance de consommation US : le ''Pizza Bar''. C'est des pizzas cuites au feu de bois & vendues à la part, un service professionnel mais décomplexé, une consommation libre, sur place ou à emporter, à toutes heures (de 11h à minuit).;Lyon 1;Pizzeria restaurant;17 Rue Désirée, 69001 Lyon;04 78 28 64 10;https://www.wazza.pizza/
Carlino;Carlino est une pizzeria situé dans le premier arrondissement de Lyon, qui offre un service de pizzas uniquement. ;Lyon 1;Pizzeria restaurant;15 Rue de l'Arbre Sec, 69001 Lyon;04 78 28 03 18;https://www.facebook.com/pizzeriacarlino69/
Le Balmoral;La Balmoral est un restaurant pizzeria à Lyon Presqu’ile ouvert en 1967 par Salvatore Carlino et repris par son fils Jean-François, ce qui en fait le plus vieux restaurant Lyonnais de père en fils. Dans une ambiance typique, on peut déguster des spécialités de la gastronomie italienne en famille où lors d’un repas d’entreprise. Depuis toutes ces années ils ont su conserver leur savoir faire à l’élaboration de plats traditionnels italiens, pizzas au feu de bois, antipasti… pour vous proposer une cuisine « faite maison».;Lyon 1;Pizzeria restaurant;14 Rue Lanterne, 69001 Lyon;04 78 28 72 53;http://www.lebalmoral.fr/
Giuseppe;Dans un cadre convivial à l'italienne dans le centre de Lyon, la trattoria Giuseppe vous accueille du mardi au samedi, midis et soirs dans une ambiance chaleureuse. Le midi on peut profiter d'une cuisine italienne, préparée maison par Jordan, le chef, avec des produits de qualité sélectionnés. Si on n’a pas de temps,  on peut emporter un sandwich, garni des produits italiens, naturellement ! Le soir on retrouve une ambiance cosy, avec des planches à partager, et des produits italiens comme la burrata, le jambon de Parme, le Gorgonzola au lait de chèvre... mais aussi les focaccias garnies, les salades ou encore les pizzas en base tomate ou en base crème. Finalement, les vins italiens !  Au verre ou en bouteilles, on peut profiter d'un Nero d'Avola (producteur sicilien), d’un Primitivo Eremo Delle Fate IGT (région des pouilles) ou encore d’un Falanghina IGT (région de Naples) !;Lyon 1;Comptoir pizzeria;3 Place d'Albon, 69001 Lyon;04 78 08 55 06;https://www.giuseppe-lyon.fr/
LA PIAZZA PAPA;Chez la Piazza Papa, tout est fait maison : les pizzas, les salades, les desserts, et même le pain ! Sauf les glaces et les sorbets, qui sont de marque Miko Carte d’Or. Une ambiance agréable, située dans le deuxième arrondissement, où on peut gouter des plats italiens et on peut profiter du Happy Hour tous les jours, de 19h à 19h30 avec une réduction de 20% sur toute la carte.;Lyon 2;Pizzeria restaurant;34 Rue Tupin, 69002 Lyon, France;04 72 40 02 99;lapiazzapapa.fr/
CASA NOBILE;Le restaurant sicilien Casa Nobile se situe non loin de l'Hôtel-Dieu et de la rue de la République. La carte propose les antipasti, les pizzas, mozzarella, charcuterie, les pates et les viandes.;LYON 2;Restaurant;3 Place de l'Hôpital, 69002 Lyon;04 78 03 02 54;https://www.facebook.com/pages/Casa-Nobile/682791461809792
PIZZERIA NAPOLI CHEZ NICCOLO ET FRANCO;Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;5 Rue Franklin, 69002 Lyon;04 78 37 23 37;http://pizzeria-napoli-lyon.com/
PIZZERIA AVARELLO;Situé dans le deuxième arrondissement, Pizzeria Avarello propose plusieurs type de pizzas à l'italienne. ;LYON 2;Pizzeria;13 Cours Suchet, 69002 Lyon;04 78 37 30 55;https://it-it.facebook.com/pages/category/Pizza-Place/Pizzeria-Avarello-139096912825649/
SPECIAL PIZZA;Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;42 Rue Mercière, 69002 Lyon;04 78 42 10 86 ;
PIZZERIA ITALIA CHEZ NICOLO';Pizzeria située dans le deuxième arrondissement. ;LYON 2;Pizzeria;53 Cours Charlemagne, 69002 Lyon;04 78 42 81 46;
LE MONNALISA;Votre restaurant italien à Lyon 2 ! Chez le Monna Lisa on peut découvrir les spécialités typiques de l'Italie Romaine. L’équipe vous accueille dans une ambiance conviviale et vous propose ses délicieux plats italiens, tous faits maison par leurs cuisiniers expérimentés, avec un large choix de spécialités typiques de l'Italie Romaine comme les pâtes fraîches aux cèpes, au saumon, carbonara, al pesto maison et beaucoup d’autre !;LYON 2;Restaurant;44-46 Cours Charlemagne, 69002 Lyon;04 72 40 00 07;http://www.lemonnalisa.com/
TI AMO MARIA;Pizzeria située dans le deuxième arrondissement. L'équipe de Ti amo Maria  vous propose la pizza de la semaine.  ;LYON 2;Restaurant;16 Rue Casimir Périer, 69002 Lyon;04 78 38 38 44;https://www.facebook.com/Tiamomarialyon/
MOZZATO;« D'autres aliments ne sont que nourriture. Mais la mozzarella est la mozzarella » ... Mozzato est le comptoir à mozzarella ! Soraya et Samir, les proprios de Mozzato se sont installés il y a quelques années maintenant au beau milieu des bouchons lyonnais de la rue Mercière. Leurs spécialités ? Les délices made in Italia : pizzas, pastas e mozzarella, qui arrive tout droit de chez un producteur de la région de Campanie en Italie.;LYON 2;Restaurant;63 Rue Mercière, 69002 Lyon;04 81 47 11 76;https://www.facebook.com/MozzatoLyon/
HIMALIA PIZZA;Lomig et Socheat, deux amis passionnés de gastronomie italienne, se réveillent chaque matin avec une seule envie : offrir un aller simple pour l’Italie grâce à leurs pizzas, pates et salades. L’Himalia (personnage mythologique grec symbole du blé) vous propose les recettes italiennes traditionnelles, faites maison à l’aide des meilleurs produits directement importés d’Italie ! Du Culatello di Zibello au Jambon de Parme, da la Mozzarella di Bufala à la Ricotta et autres fromages italiens… Ici toutes les charcuteries, fromages et farines sont importés d’Italie.;LYON 2;Pizzeria;49 Rue de la Charité, 69002 Lyon;04 78 95 09 38;https://himalia.pizza/
ASSAGGI;Assaggi : le traiteur Italien à Lyon ! Sonia, Alessandro et leur équipe vous accueillent dans leur boutique pour découvrir leurs charcuteries, fromages, antipasti et leurs pâtes fraîches réalisées sur place ! Et chaque jour, ils vous proposent une cuisine authentique avec des produits frais et de saisons, selon l'inspiration du moment ! La créativité du chef et de son équipe est sans limite : le menu change quotidiennement.;LYON 2;Traiteur;20 Rue de la Charité, 69002 Lyon;04 72 04 39 32;http://assaggi.fr/
Il Palio ;Le restaurant il Palio vous propose les recettes de la cuisine italienne, diversifiée et riche en traditions en vous offrant un grand choix de délices savoureux fraîchement préparés. L’équipe de Il Palio va vous accueillir pour un déjeuner ou pour un dîner dans une atmosphère sublime, dans la zone outdoor ou en terrasse chauffée. On peut même profiter du service traiteur.;Lyon 2;Ristorante;2 Rue Duhamel, 69002 Lyon;04 81 10 87 06;https://ilpalio.eatbu.com
Ducci Sapori;Epicerie située dans le deuxième arrondissement, spécialisée dans la vente de viandes et produits à base de viande. ;Lyon 2;Epicerie;38 Rue Franklin, 69002 Lyon;04 78 37 61 57;
O tiramisu;Situé Quai Perrache dans le 2e arrondissement de Lyon, O Tiramisu est un charmant restaurant du quartier où l’ambiance est chaleureuse, l’accueil très sympathique et les plats proposés viennent tout droit de l'Italie. Chez O Tiramisu on peut gouter les antipasti italiens, les primi piatti mais aussi les pizzas et les secondi piatti de viande.;Lyon 2;Epicerie;22 Quai Perrache, 69002;09 81194874;http://otiramisu.fr/
Piada;Piada : le premier restaurant italien au cœur de Lyon Confluence qui vous fera voyager en Emilie-Romagne.  Vous pourrez y découvrir sur place ou à emporter une Piadina faite maison, avec des produits frais et importés tout droit d'Italie. Vous y serez chaleureusement accueilli dans une ambiance haute en couleur.;Lyon 2;Piadineria;C. Cial Confluence - 112, Cours Charlemagne, 69002;09 83 37 25 60;http://piadafood.com/
Er baretto;Er Baretto, qui en patois romain veut dire le petit café, est l’aboutissement d’un projet personnel visant à célébrer la gastronomie de l’Italie. Ines est née à Rome et vit en France depuis plusieurs années où elle a grandi dans les cuisines et les salles des restaurants de sa famille. Er Baretto synthétise l’esprit d’un lieu ouvert toute la journée : que vous soyez à la recherche d’un bon café, d’un petit déjeuner gourmand, d’un déjeuner même si c’est tard, d’une pause goûter, d’une formule apéro variée ou d’un dîner en compagnie.  ;Lyon 2;Bar / Restaurant;19 Rue Gentil, 69002 Lyon;09 86 47 90 10;https://www.er-baretto.fr/
Chez Carlo ;Ancré dans les rues lyonnaises depuis plus d’un demi-siècle, Chez Carlo est historiquement la première pizzeria à voir le jour à Lyon en 1958 ! En plein cœur de Lyon, le restaurant Chez Carlo donne rendez-vous à tous les amoureux de cuisine italienne avec ses pizzas et ses recettes. On se fait tenter par un moment culinaire d’exception dans un cadre soigné et une ambiance chaleureuse et partager un moment avec l’équipe de Chez Carlo en salle ou en terrasse.;Lyon 2;Pizzeria restaurant;22 Rue Palais Grillet, 69002 Lyon;04 78 42 05 79;http://chezcarlo-lyon.fr/
Stella D'oro;Restaurant et pizzeria qui propose les plats typiques de la tradition italienne et pizza. ;Lyon 2;Restaurant;3 Rue Jacques Stella, 69002 Lyon;04 78 37 60 81;https://www.facebook.com/pages/Pizz%C3%A9ria-La-Stella-dOro/110935192299442
Gabriella - le clan des mamma;Le Clan des Mamma est un restaurant italien qui rend hommage à la famille et aux Mamma. Julien, Alban, Laurent & Jérémy ont décidé de rendre hommage aux femmes fortes de leur entourage et de leur dédier un restaurant et construire ainsi, un véritable Clan. Gabriella est la première Mamma du Clan des Mamma. Sa spécialité ? Les pizzas et les cocktails. Une cuisine à son image : spontanée, gourmande et pétillante. Un mélange entre une épicerie italienne avec des étagères chargées en produits du terroir, une trattoria d’un petit village des Pouilles, de l’ancien, du moderne, du bois, du marbre, des fleurs… Bref, un juste milieu pour que tout le monde s’y sente bien.  Chez Gabriella, tout est fait-maison et surtout tout est préparé avec le coeur. La pâte à pizza de Gabriella est pétrie avec amour puis maturée au minimum 48 heures.;Lyon 2;Restaurant;4 Rue de Fleurieu, 69002 Lyon;04 78 37 00 54;https://www.leclandesmamma.com/gabriella-lyon/
FOCACCIA;Situé dans le Centre commercial La part dieu au Niveau O, chez Focaccia on peut retrouver les Focaccias salées, les sandwiches,les focaccias sucrées, mais aussi les salades et les desserts maison. Focaccia est un restaurant franchisé.;Lyon 3;Pizzeria;"Centre commercial 
La part dieu - Niveau O 
69003 Lyon, France";04 78 37 00 54;focaccias.eu
ITALIANO VERO ;L’Italiano Vero est fondé sur la culture gastronomique italienne :  l’équipe vous propose des recettes traditionnelles authentiques. L’Italiano Vero recherche chaque saison à enrichir la carte avec des produits culinaires originaux, peu connus mais ayant de grandes saveurs. La sélection des produits est faite avec soin, directement chez les producteurs afin de proposer aux clients des plats de qualité.;Lyon 3;Pizzeria Restaurant;96 Route De Genas - 69003 Lyon, France;04 78 54 54 54;litalianovero.fr
TOTÒ LI VIGNI ;Dans le restaurant Toto Li Vigni, en plein centre du quartier de Montchat, règne une ambiance familiale où Toto, Cathy et leur équipe, vous guideront pour ce voyage culinaire autour de mets, de vins, de produits sélectionnés avec soin. La carte est composée de grands classiques de la cuisine italienne, mais aussi de plats “Signature”, des incontournables revisités par le Chef. Toujours à la recherche de nouveautés, Toto Li Vigni se rend régulièrement en Italie pour y découvrir les dernières tendances et signer des partenariats avec des producteurs locaux. La carte des vins, exclusivement italiens est le reflet des régions d’Italie et de leurs caractéristiques. Toto et Cathy vous proposent également toute une gamme de pizzas maison, caractérisées par un procédé de fabrication unique en son genre. De la pâte levée pendant 48h aux produits frais, jusqu'à la cuisson au four rotatoire. Depuis son ouverture, l’établissement est reconnu par la Chambre de Commerce Italienne de Lyon et par le Ministère du Tourisme italien, comme un restaurant certifié italien authentique de par l’origine et la qualité de ses produits, sous le label “Ospitalità Italiana”. En 2015, c’est les Associations des Toques Blanches Lyonnaises et des Maîtres Restaurateurs de France qui accueillent le Chef Toto Li Vigni ainsi que notre établissement. La même année, le restaurant décroche un Trophée de la Gastronomie, catégorie Cuisines du monde.;Lyon 3;Pizzeria Restaurant;50 Cours du Docteur Long, 69003 Lyon, France;04 78 42 19 24;https://www.totolivigni.com/
LELLO : RESTAURANT ET COMPTOIR ITALIEN A’ LYON;Un restaurant italien à l’ambiance chaleureuse, où l’équipe vous propose chaque jour des produits frais, selon l’arrivage et l’humeur du chef. Chef Lello est en permanence à la recherche de petits producteurs italiens : truffier, viticulteur, fabricants de pâtes artisanales… Pas de carte prédéfinie ! Chaque midi, l’équipe Lello vous propose un buffet d’antispasti frais et végétarien ainsi que 2 plats du jour. Le jeudi soir, c’est soirée « Apericena » : planches de fromages et charcuterie tranchée sous vos yeux accompagnées de l’incontournable spritz ou de vins italiens. Les vendredi soir, c’est soirée « Gastronomica » avec un menu 3 plats ou à la carte selon les suggestions du Chef. Depuis juin 2014, Lello est reconnu par la Chambre de Commerce et d’Industrie italienne de Lyon, et le gouvernement italien, comme une table 100% « cucina italiana » sous le label « Ospitalità italiana ».;Lyon 3;Restaurant;231 Rue Paul Bert, 69003 Lyon, France;09 72 55 38 74;lello.fr
LE FERRARI;La Pizzeria Comptoir Le Ferrari, situé dans quartier Montachat, vous propose des formules STREET FOOD, un comptoir SPEED SERVICE sans réservation pour déguster les spécialités et retrouver l’excellence d’une vraie pizza napolitaine cuite au feu de bois avec une qualité garantie par l’Association Pizza Verace Napoletana, label de qualité.;Lyon 3;Pizzeria Restaurant;12 Cours Dr Long, 69003, Lyon, France;04 78 53 95 66;lefferari.fr
CHEZ PAOLINO;Si vous avez envie d'une pizza ou d'un plat qui vous emporte en Italie, Chef Paolino vous propose de la bonne cuisine Italienne artisanale préparée avec amour. La carte de menu vous présente une large variété de pizzas, de pâtes et de plats à emporter pour répondre à tous vos goûts et vos envies culinaires.;Lyon 3;Pizzeria Restaurant;250 Cours Lafayette, 69003, Lyon, France;04 72 36 86 86;http://www.paolino-restaurant-italien-lyon.com/
Max Call;Pizzeria avec plusieurs types de pizza, situé à la Guillotière. ;Lyon 3;Pizzeria;21, grande rue de la Guillotière, 69007 Lyon;04 72 71 77 77;http://www.maxcall.fr/
La Scala Siciliana;Les esprits d'une famille unie : la Mamma Corinne, et ses deux fils, Fabio et Anthony Morreale (assistés par Cristian Sgamba), et, leur petite sœur, Tiziana. Les pizzas, les assiettes de charcuterie, les pates et les vins italiens font de la Scala Siciliana l’endroit où déguster les spécialités italiennes et trouver des beaux souris.;Lyon 3;Restaurant;3 Rue Commandant Dubois, 69003 Lyon;04 26 00 09 35;http://lascalasiciliana.com/
Le Rialto;Le Rialto vous accueille dans son restaurant-pizzeria pour vous faire découvrir ses spécialités italiennes dans le 3ème arrondissement de Lyon , dans l'incontournable quartier des affaires de La Part-Dieu. Vous pouvez retrouver un large choix de plats italiens et de pizzas italiennes.;Lyon 3;Restaurant;14 Avenue Georges Pompidou, 69003 Lyon;04 72 34 00 48;https://www.restaurant-italien-lyon.fr/
Margherita di Savoie;Situé Rue Villeneuve à Lyon, le restaurant Margherita Di Savoia vous accueille dans un cadre moderne et convivial pour vous faire découvrir des traditions culinaires venues directement de l'Italie préparés avec beaucoup d'originalité. La carte propose une grande variété de spécialités italiennes, le repas se transformera ainsi en véritable voyage.;Lyon 3;Pizzeria;1 Rue Villeneuve, 69004 Lyon;04 78 61 09 36;http://margheritadisavoia.fr/fr
Buongiorno;Buongiorno : une épicerie fine Italienne dans le quartier vivant de la Croix Rousse, Lyon 4ème. Vous pouvez découvrir leur produits de qualités comme les typiques fromages italiens, la charcuterie de qualité italienne, ou encore les pâtes fraiches et beaucoup d’autre dans une ambiance décontractée.;Lyon 4;Épicerie Fine;1 Rue Perrod, 69004 Lyon;04 78 58 99 54;https://buongiorno-epiceriefine.business.site/
Pasta Luna;Situé dans le quatrième arrondissement de Lyon, Pasta Luna est un restaurant épicerie qui vous offre les meilleurs produits de la tradition italienne (charcuteries, fromages ,antipasti, pâtes et raviolis frais, vins, café etc. ). Le chef élabore sous vos yeux pizzas, lasagnes, cannellonis, pâtes et raviolis frais que vous pouvez consommer sur place ou à emporter.;Lyon 4;Restaurant;4 Rue du Mail, 69004 Lyon;04 78 28 90 69;https://pastaluna.eatbu.com/?lang=it
PIZZA PUCE;Pizza Puce, vous propose ses pizzas cuites au feu de bois, dans un four traditionnel. Les deux magasins sont là pour vous servir, à Croix Rousse et à Tassin la Demi-Lune. Chez Pizza Puce les pizzas sont réalisées avec des fromages de qualité, des ingrédients frais et des pâtes maison.;Lyon 4;PIZZERIA;5 Place du Commandant Arnaud, 69004 Lyon;04 72 00 00 40;http://www.pizzapuce.com/
OSTERIA VALENTI;Situé à la Croix Rousse, l’Osteria Valenti est un véritable restaurant italien. Ses produits sont frais et importés tout droit de l’Italie par les meilleurs fournisseurs spécialisés en produits italiens. L’équipe de l’Osteria Valenti vous propose des assiettes apéro, des antipastis à l’italienne, des primi piatti et des plats de viande et les immanquables desserts !;Lyon 4;Restaurant;5 Place du Commandant Arnaud, 69004 Lyon;04 78 29 26 05;https://it-it.facebook.com/RestaurantOsteriaValenti/
BOCCA DI ROSA;Le chef Franco Provvedi est né à Lyon de parents franco-italien et après 15 années passées à Senigallia, petite ville médiévale sur les rives de la mer Adriatique, il a tous les contacts et les diplômes pour réaliser un produit de haute qualité et innovant. Il ouvre Bocca di Rosa, cette pinseria et épicerie qui offre aux clients sa spécialité : la Pinsa à la Romaine, la cousine de la pizza. ;Lyon 4;Bar;23 Rue Pailleron, 69004 Lyon;04 78 31 79 91;https://it-it.facebook.com/boccadirosa69/
Sapori d'Italia;Sapori d’Italia vous propose ses pizzas directement chez vous ou à emporter. L’équipe vous promet le plaisir de manger une bonne pizza pétrie chaque jour, fine et croustillante, avec tomate fraiche, de la vraie mozzarella et garnie d’ingrédients de qualité. On peut essayer même les desserts fait maison et la sélection de vins italiens.;Lyon 5;Pizzeria;13 Impasse Secret, 69005 Lyon;04 26 64 07 06;https://www.facebook.com/sapori-ditalia-lyon-257573404270337/
Al Dente;Situé au cœur du centre historique du Vieux Lyon, dans le quartier St Georges, le restaurant italien Al Dente vous accueille dans une ambiance sympa et conviviale afin de vous offrir un agréable moment de détente et de gourmandise. Avec un grand choix de pizzas préparées à la minute, une pâte croustillante, une garniture généreuse et des produits frais en provenance directe du Pays de la Botte. Ici, chaque plat est fait maison et préparé à la minute.;Lyon 5;Restaurant;54 Rue Tramassac, 69005 Lyon;04 78 60 69 30;https://aldente-lyon.fr/
La Trattoria di Saint Jean ;Situé dans le quartier du Vieux-Lyon, quartier touristique, la Trattoria de Saint-Jean vous propose les salades italiennes, la charcuterie italienne et les recettes traditionnelles italiennes ! Décoration rouge et noire, ambiance chaleureuse, vous passerez à coup sûr un moment agréable dans cette trattoria, simple et sans prétention.  ;Lyon 5 ;Epicerie;31 Rue Saint-Jean, 69005 Lyon;09 52 57 31 40;
VIA VENETO ;Via Veneto est une épicerie et restaurant situé dans le sixième arrondissement. Pates maison, sauces, fromages et d’autre produits typiques italiens sont proposés par le chef dans ses recettes, mais vous pouvez acheter ces ingrédients pour préparer un repas à l’italienne directement chez-vous.   ;Lyon 6;Épicerie;86 Cours Vitton, 69006 Lyon, France;04 72 74 06 97 ;
STUZZICO ;Situé dans le quartier de Brotteaux, Spizzico vous propose des pizzas italiennes et les panini à emporter ou à consommer dans la salle.;Lyon 6;Pizzeria;5 Boulevard des Brotteaux, 69006 Lyon, France;04 78 52 92 77;https://www.facebook.com/pages/Stuzzico/430584800624144
LE VERDI ;Installée depuis une vingtaine d’années au cœur du quartier des Brotteaux, la pizzeria LE VERDI vous propose la cuisine italienne et les pizzas cuites au feu de bois avec plus de 30 recettes traditionnelles et originales. On peut aussi déguster les salades, accompagnées de la fameuse pizza blanche, un pain maison au goût incomparable. Dans la carte on peut trouver aussi les pâtes, les viandes garnies et les desserts renversants.;Lyon 6;Pizzeria;13 Boulevard des Brotteaux, 69006 Lyon, France;04 72 74 29 53 ;pizzeria-leverdi.fr
LE PARME;Situé dans le sixième arrondissement, le Parme est une sandwicherie italienne où on peut commander des paninis à emporter farcis avec les ingrédients italiens de qualité.;Lyon 6;Restaurant;7 Rue de Sèze, 69006 Lyon, France;04 78 24 03 82;https://www.facebook.com/leparme.judith/
