Title;Content;Region;Categorie;Adresse;Phone;_company_website
CAFFE' ROMA;Situé dans le sixième arrondissement, le Caffé Roma est un bar épicerie où on peut trouver plusieurs produits typiques italiens : des produits à la truffe, les vins italiens, les boissons italiennes, les panettoni et beaucoup d’autre.;Lyon 6;Épicerie;124 Rue de Sèze, 69006 Lyon, France;04 78 24 20 67;https://www.facebook.com/cafferomalyon6/
NEROLIVA;Pippo, arrivé à Lyon en 1998 de Turin, a ouvert Neroliva en 2009. La qualité de ses produits et ses recettes traditionnelles ou originales lui valent le label « Ospitalità Italiana » décerné par la Chambre de commerce italienne. Toujours à la recherche de nouveautés, il vient de créer une nouvelle recette de pizza à base de charbon végétal. Pippo, Candice et Biagio vous proposent les plats typiques de la tradition italienne avec quelques originalités et naturellement la pizza.;Lyon 6;Restaurant;13 Rue Juliette Récamier, 69006 Lyon, France;04 78 52 18 47;https://www.neroliva.com/
CASA POMPEI;La Casa Pompeï, restaurant situé dans le sixième restaurant, vous invite en voyage dans le sud de l'Italie. Chez Casa Pompei on sélectionne et importe les meilleurs produits de la Campanie pour les partager avec les clients, le tout dans une ambiance « à l’italienne » ! Dans la carte on trouve les classiques pizzas, les pâtes, les viandes, les poissons, les salades et les desserts…;Lyon 6;Restaurant;275 Cours Lafayette, 69006 Lyon, France;04 78 52 07 56;https://www.casa-pompei.com/
PIZZERIA IL FICO ;Chez Il Fico vous serez chaleureusement accueillis par Aurélie en salle et Blérimo en cuisine. Après avoir officié de nombreuses années à Rome en tant que pizzaïolo dans le restaurant Da Francesco, c’est à Lyon que le couple a décidé d’ouvrir leur pizzeria. Ils vous proposent des pizzas romaines, piadinas, salades, antipastis et desserts. Chez Il Fico les produits sont frais, de qualité et la pâte à pizza est faite-maison ! Il faut consulter régulièrement notre menu parce-que certaines pizzas évoluent en fonction des produits saisons.;Lyon 6;Pizzeria;54 Rue Ney, 69006 Lyon, France;04 72 15 92 83;pizzeria-ilfico.com
BIANCA TRATTORIA;Situé dans le sixième arrondissement, Bianca;Lyon 6;Restaurant;1, place Jules Ferry, 69006 Lyon, France;04 78 41 68 10;https://www.bianca.rest/
CASA DEL GUSTO;Avec une terrasse juste en face de l'église Saint-Pothin, Casa del Gusto est une épicerie fine qui propose des plats typiques de la tradition italienne comme les lasagnes, plusieurs antipasti et une très bonne panna cotta. ;Lyon 6;Restaurant;11 Place Edgar Quinet, 69006 Lyon, France;04 37 24 35 60;https://www.facebook.com/pages/category/Italian-Restaurant/Casa-del-Gusto-152327171464972/
CASARECCIO;Situé dans le sixième arrondissement, Casareccio vous propose la cuisine italienne traditionnelle et ses pizzas cuites au four de bois. En plus, vous pouvez essayer l’apéritif italien avec les assiettes d’antipasti.  ;Lyon 6;Restaurant;90 Rue Duguesclin, 69006 Lyon, France;04 78 94 39 18;https://it-it.facebook.com/restaurantcasareccio/
IL QUIRINALE;Dans le quartier Foch à Lyon, Jean Michel Cavaretta a ouvert le restaurant Quirinale où il vous propose une cuisine Sicilienne avec une ardoise et une carte renouvelées chaque semaine. Vous pouvez gouter les Antipasti, Bruschette, pâtes, Risotto, Escalopes et du poisson frais chaque jour selon l’arrivage. On y trouve une grande variété de vins comme le Lambrusco, le Primitivo et le Prosecco.;Lyon 6;Restaurant;6 Rue Bossuet, 69006 Lyon, France;04 72 37 00 15;https://www.facebook.com/pages/Le-Quirinale/
ITALIANA FABBRICA;Italiana Fabbrica est un restaurant italien ou tous les produits sont faits maison et ou on peut gouter plusieurs types de pates, viandes, pizzas, salades et dessert. Les pizzas sont proposées entières ou en parts, même dans les formules.;Lyon 6;Restaurant;95 Cours Vitton, 69006 Lyon, France; 04 78 93 81 10;https://www.facebook.com/pages/category/Italian-Restaurant/La-Fabbrica-156088514438162/
LA MONELLA;Dans une ambiance conviviale et familiale, La Monella vous propose des pizzas, des produits faits maison, des assiettes généreuses et un accueil chaleureux !;Lyon 6;Pizzeria;12 Avenue Maréchal Foch, 69006 Lyon, France;04 72 43 07 00;http://lamonella.com
LU SALENTU;Lu Salentu est une épicerie qui vous propose spécialités régionales des Pouilles, de la zone du Salento. Menu de pates à emporter et d’autre produits typiques.;Lyon 6;Épicerie;44 Rue Ney, 69006 Lyon, France;04 72 81 73 66;
LE NAPOLITAIN;Au Napolitain, vous pouvez gouter des pizzas traditionnelles Napolitaines, cuites au feu de bois, préparées à partir de farine spéciale non raffinée, directement importée d'Italie : une pâte à pizzas aux bords prononcés mais moelleux, qui vous invite à une promenade dans les ruelles de Naples. L’équipe d’Au Napolitain travaille avec une petite coopérative située dans le sud de l’Italie, regroupant des producteurs qui pratiquent une agriculture raisonnée. Augusto Sodi, le chef pizzaiolo, vient tout droit de Latina, non loin de Rome, formé depuis 20 ans à la pizza Napolitaine. Antipasti, vins Italiens raffinés, desserts maison, ambiance chaleureuse, à deux pas de la place des Brotteaux, Le Napolitain vous invite à une escapade ensoleillée et savoureuse 100% Italienne.;Lyon 6;Restaurant ;69 Rue Ney, 69006 Lyon, France;09 73 66 17 68;https://www.lenapolitain.com/
Ristorante Zucca;La cuisine de Zucca s'inspire des souvenirs d'enfance des Chefs italiens, olfactifs et gustatifs, et de leurs racines. Cette cuisine généreuse et gourmande reste fidèle à la vraie cuisine des « mamas », faite main, avec des plats traditionnels revisités tout en respectant les codes de la gastronomie italienne. La carte met en scène des produits de qualité et de saison. Elle évolue au fil du temps et propose régulièrement des nouveautés. Un mot caractérise le travail de notre Chef : la générosité. Son souhait ultime, donner autant de plaisir à faire découvrir les plats qu'il en a eu à les créer. Les lèves-tard du dimanche sont les bienvenus au Zucca : sa nouvelle formule brunch portera les couleurs de l'Italie chaque dimanche de 11h30 à 15h00;Lyon 6;Restaurant;70 Quai Charles de Gaulle, 69006 Lyon;04 78 17 51 00;https://www.zucca.fr/
PanzerotTiamo;« Parce qu’en Italie il n’y a pas que de pates et de pizza ! » Le Restaurant PanzerotTiamo est situé en plein cœur du quartier de la Part-Dieu dans le 6e arrondissement de Lyon et il est le seul italian street food de France à vous proposer de découvrir les panzerotti.;Lyon 6;Restaurant;165 Cours Lafayette, 69006, Lyon;07 83 21 39 01;http://panzerottiamo.businesscatalyst.com/
La casa di Vito morreale;Chez La Casa di Vito Morreale vous trouverez produits frais, charcuterie, fromages, vins des terroirs tous les ingrédients d’une cuisine ensoleillée et parfumée dans un cadre à la fois authentique et contemporain. Pizza ? Pâte à pain faite à la main, moelleuse aux bords levés, pulpe de tomate, mozzarella, charcuterie coupée très fine et crue, légumes frais, une vraie pizza !;Lyon 6;Restaurant;139 Rue Bugeaud, 69006 Lyon;04 72 75 05 75;https://www.vitomorreale.fr/
Zozo Gelateria;Situé dans le sixième arrondissement, Zozo Gelateria vous propose les glaces italiens. ;Lyon 6;Gelateria;33 Cours Franklin Roosevelt, 69006 Lyon;04 78 93 72 99;https://www.facebook.com/Zozo-Gelateria-1651338081746555/
Naturalmente italiano;Naturalmente Italiano vous offre une sélection de produits labellisés, bio et artisanaux : pates fraiches, antipasti, paneton, sandwich sur mesure, vins fins, apéritifs, digestifs ou encore charcuterie, fromages traditionnels … mais même planches apéritives, coffrets cadeaux, et paniers gourmands !;Lyon 6;Epicerie;7 Place Kléber, 69006;04 78 41 73 28;https://it-it.facebook.com/NaturalmenteItaliano/
Sapori di casa;Sapori di Casa est un restaurant ou vous pouvez gouter les pâtes fraîches, les fromages piémontais, les salades et les desserts italiens. Les vins et les bières artisanales viennent du Piémont, région au nord de l’Italie. Vous pouvez acheter ces produits de qualité à l’épicerie ou les essayer sur place et à emporter !;Lyon 6;Restaurant;134 Avenue Thiers 69006;04 72 44 37 98;https://it-it.facebook.com/PiemontaLyon/
Italia e Sapore;A mi-chemin entre l’épicerie, le traiteur et le restaurant, Italia e Sapore est une petite trattoria installée dans le quartier Foch. L’établissement propose une cuisine typique élaborée à partir de produits directement importés d’Italie. Antipasti, pates, pizza, risotto… et le rayon épicerie fine propose des fromages et la charcuterie italienne comme la mozzarella di Bufala ou la coppa.;Lyon 6;Restaurant / Epicerie;88 rue Vendome, 69006;04 78 24 76 84;italiaesapore.com
Via Barcatta;"Italien et amoureux de mes racines, le gérant de Via Barcatta avait envie de partager avec ses clients la culture, la gastronomie et le vin de son pays, l’Italie. Le concept est simple, vous pouvez gouter les assiettes charcuteries et fromages à l’italienne sur place ou à emporter. Ici, tout se passe ""à l'italienne"" :  le midi autour d'un ciabatta accompagné d'antipasti ou bien d'une assiette de pates et le soir, avec des assiettes de charcuteries, de fromages, d'antipasti, à partager autour d'un verre de vin. Laissez-vous guider et tenter par un vaste choix de vin au verre : Barolo, Amarone della valpolicella, Chianti et Ferrari !";Lyon 6;Bar à vin;38 rue de la Tete D Or, 69006, Lyon, France;04 78 89 58 04;viabarcatta.fr
Vivo e basta;Situé dans le sixième arrondissement, Vivo e Basta vous propose les plats de la tradition italienne : pates, risotto, pizza, salades , bruschette, antipasti et desserts à l’italienne et revisités !;Lyon 6;Restaurant;129 Rue Vauban, 69006 Lyon;06 66078758;https://it-it.facebook.com/vivoebastalyon/
La nonna;La Nonna est un restaurant italien, pizzeria sur Lyon depuis 1987. Devant leurs fourneaux, les deux frères Edouard et Théo mijotent des spécialités italiennes. Le succès de ce restaurant, ils le doivent à leurs fameuses Pizzas copieuses et savoureuses.;Lyon 6;Restaurant;9 Rue Ney, 69006 Lyon;04 26 28 16 06;http://www.restaurant-lanonna.fr/
La Toscane;La Toscane est un restaurant et pizzeria qui vous propose des plats typiques de la tradition italienne et les pizzas.;Lyon 6;Restaurant;26bis Rue Duquesne, 69006 Lyon;04 78 93 20 91;https://www.facebook.com/pg/La-toscane-482679955207084/about/?ref=page_internal
Farfalla Caffé;Farfalla Caffè est un bistrot restaurant qui vous propose les plats typiques de la tradition italienne. ;Lyon 6;Restaurant;56 Avenue Maréchal de Saxe, 69006 Lyon;04 78 52 87 12;https://fr-fr.facebook.com/pages/Farfalla-Caffe/164945903519013
Pepperoni;Le restaurant Pepperoni, situé dans le 6e arrondissement de Lyon, est une authentique pizzéria. Ce restaurant d'allure contemporaine et à l'ambiance décontractée propose une carte avec une sélection de produits frais de qualité pour la plupart importés d'Italie.;Lyon 6;Restaurant;78 rue Vendôme - 69006 Lyon;04 78 89 20 00;http://www.restaurant-pepperoni.com/
La Gazzetta;La Gazzetta est situè dans le sixième arrondissement. Ce restaurant et pizzeria vous propose des plats et des pizzas avec des ingrédients de qualité qui arrivent de l'Italie. ;Lyon 6;Pizzeria;32 Boulevard des Brotteaux, 69006 Lyon;04 37 24 47 39;https://it-it.facebook.com/pages/category/Italian-Restaurant/La-Gazzetta-lyon-1542045326101478/
Riso Amaro;Situé dans le sixième arrondissement, Riso Amaro est un restaurant italien qui propose un grand choix de salades, risotti, planches de charcuterie et de fromages.;Lyon 6;Restaurant;84 Rue Vendôme, 69006 Lyon;04 78 52 84 13;http://www.risoamaro.fr/index.html
Vivaldi: Nicolò e Maria ;"Originaire de Sicile, Nicolo a pris les rennes du ""Nicolo e Maria, Le Vivaldi"" au 49 avenue Berthelot. Maître pizzaölo, il a voyagé de Miami à Amsterdam en passant par Lisbonne, puis a exercé son savoir-faire dans des restaurants prestigieux à Rome. Dans une ambiance colorée et chaleureuse, il propose des plats régionaux souvent méconnus des Lyonnais, des pizzas savoureuses. Son épouse est maître sommelier et ses enfants, Giuseppe et Clara assurent un service irréprochable.";LYON 7;Pizzeria;49 avenue Berthelot, 69007 LYON;04 78 72 00 20;https://www.pizzeriavivaldilyon.fr/
MAMMA GINA;Mamma Gina est le premier Food Truck Sicilien qui vous fera voyager le temps d'un déjeuner ! Pates, salades, arancini, polpettone… la Sicile dans vos assiettes !;Lyon 7;Food Truck;Rue Pierre-Gilles-de-Gennes, 69007 Lyon;06 63 56 74 19;https://www.facebook.com/Lefoodtruckdelamamma/
Zappo ristorante pizzeria Lyon;Une pizza délicieuse faite avec passion et de bons ingrédients italiens, une bière du monde bien fraîche, un accueil chaleureux, parfois avec un accent italien, une ambiance mêlant design et industrie : Voilà la promesse du concept Zappo !;Lyon 7;Pizzeria;6 Rue Challemel-Lacour, 69007 Lyon;04 72 71 79 88;http://www.zappo.fr/
Arance SiciLyon !;Arance Sicilyion est une distributeur circuit-court : du producteur sicilien au consommateur lyonnais ! Les oranges siciliennes sont retirables chaque semaine dans le septième arrondissement !;Lyon 7;Negozio di arance;10 rue de l'effort, 69007, Lyon;04 72 72 09 38;http://www.arancesicilyon.fr/
Delizie italiane ;Chez Delizie Italiane vous trouverez les plats de la tradition italienne faits avec des produits frais, soigneusement sélectionnés et transformés pour créer des recettes qui plaisent à tous les palais. Fraicheur et authenticité sont les maitres mots de la cuisine de Delizie Italiane.;Lyon 7;Epicerie;27 Place des Pavillons, 69007;06 03 56 51 91;www.delizieitaliane.net 
Trattino;Situé dans La Commune de Lyon, Trattino crée des tiers-lieux dédiés à l’alimentation écologique, chacun conçu et agencé autour de 3 univers interconnectés : une boutique-épicerie, un café-restaurant et un espace d’échanges et de rencontres culturelles. Cette connexion permettra de s’approvisionner en bons produits Bio, se restaurer à toute heure, boire un verre ou un café mais également se détendre, s’informer et échanger, dans la convivialité, avec des producteurs et des acteurs du changement.;Lyon 7;Restaurant;La Commune - 3 rue du Pré-Gaudry, 69007;06 40 12 87 97;https://trattino.fr/
Pizza lab;Pizza LAB est spécialisé dans la production de pâtes à pizza artisanales pour professionnels et particuliers. Ici on utilise des farines professionnelles italiennes, des farines produites localement ou des farines bio. Vous pouvez acheter un kit pizza ou un cours de pizza privé.;Lyon 7;Pizzeria;1 Rue Jangot, 69007 Lyon;06 74 17 33 16;http://www.pizzalab.fr/
Mamma Daniela;Conserverie, plats préparés et produits sélectionnés par le chef : Mamma Daniela est une gamme de conserves et de plats préparés avec amour par le chef Paolo Scuotto. Pour retrouver directement chez vous les recettes inimitables de la gastronomie italienne, comme si vous étiez au restaurant consultez la liste de revendeurs ou contactez Mamma Daniela directement. Chef depuis de nombreuses années, Paolo décide en 2016 de se lancer dans une nouvelle aventure : Proposer ses meilleures sauces et plats préparés à travers une gamme de produits d’épicerie fine. A cette occasion, il crée la marque Mamma Daniela, en hommage à sa sœur.;Lyon 7;Epicerie fine;39 Avenue Berthelot, 69007;06 77 75 37 19;https://mamma-daniela.fr/
Veronatuti;Veronatuti est une trattoria italienne qui vous propose d’explorer, au fil des saisons, les saveurs typiques des plats traditionnels régionaux de la péninsule. Une cuisine élégante et subtile, simple et généreuse, dans la pure tradition transalpine. De l’entrée au dessert, les plats sont cuisinés maison et subliment des produits frais de saison. ;Lyon 7;Restaurant;122 Rue Montesquieu, 69007, Lyon, France;04 37 66 16 22;http://veronatuti.com/
Domo de Jana;Domo De Jana est une épicerie et restaurant qui propose les spécialités de la Sardaigne, ile italienne. Les produits proposés dans l’épicerie sont issus d’une sélection personnalisée et fine, privilégiant les petits producteurs locaux au détriment des distributeurs de l’agro-alimentaire, privilégiant la diversité des saveurs au détriment de l’uniformisation des goûts et des produits. Que serait Alghero sans ses cépages catalans, la Gallura sans son cépage Vermentino partagé avec la Corse, l’île de SanPietro sans son casca de légumes ? DOMO DE JANA est bien plus qu’une simple épicerie, elle est une épicerie-comptoir, un vrai lieu de vie, un pont entre la Sardaigne et Lyon.;Lyon 7;Restaurant;35 Rue de la Thibaudière, 69007 Lyon;04 37 66 50 75;https://domodejana-sardaigne.com/
Venezia;Restaurant qui propose des plats typique de la tradition italienne, situé dans le septième arrondissement. ;Lyon 7;Restaurant;237 Rue Marcel Mérieux, 69007 Lyon;04 78 58 64 76;
L'italien de Lyon;Dans le quartier Jean-Jaurès, L’Italien de Lyon est un bistrot moderne, proposant une cuisine italienne à la fois moderne et traditionnelle. Julien Minot va vous accueillir pour vous proposer les classiques le de la cuisine italienne, réalisés avec des produits importés de l’Italie et naturellement la pizza.;Lyon 7;Restaurant;12 Rue Pré-Gaudry, 69007 Lyon;04 72 70 46 76;https://www.facebook.com/LItalien-de-Lyon-985007811544951/
O divin plaisir;Au cœur du quartier de Monplaisir, Ô DIVIN PLAISIR est une épicerie fine italienne qui propose un large choix de produits traiteurs italiens de haute gamme à emporter ou à consommer sur place : produits à la truffe, charcuterie traditionnelle, pâtes fraîches artisanales, lasagnes, sauces, risotto, antipasti, vins italiens de prestige, mais aussi : saumon, caviar, foie gras d'Alsace… Vous pouvez y trouver les produits Cipriani et le Bellini, cocktail à base de prosecco et de purée de pêches blanches.;Lyon 8;Epicerie;65 Avenue des Frères Lumière, 69008 Lyon;04 78019472;http://www.odivinplaisir.com/
Bellucci;Chez Bellucci, la découverte de l'Italie se trouve à portée de mains, le chef, spécialement débauché d'un grand restaurant Italien, vous propose un voyage à travers l'Italie avec ses pizzas d'exception. La cuisine italienne est ici mise au goût du jour, allégée et revisitée. Des plats originaux, des produits de qualité sélectionnés auprès des magasins traditionnels. Pour les amateurs de vins italiens, vous trouverez ici votre bonheur. L'établissement se démarque par sa cuisine avec ses produits frais, et par son atelier de Pizza en salle. Le Bellucci mêle subtilement le design et la tradition.;Lyon 9;Restaurant;14 Quai Hippolyte Jaÿr, 69009 Lyon;09 70 90 71 77;https://it-it.facebook.com/BellucciItalien/
LA STORIA NOSTRA;Restaurant situé à Villeurbanne, La Storia Nostra vous propose les plats typiques de la tradition italienne. ;VILLEURBANNE;Restaurant;1 Rue Pierre Larousse, 69100 Villeurbanne;04 72 44 29 29;
CASA DE CAROLIS;Pizzeria situé à Villeurbanne.;VILLEURBANNE;Restaurant;96 Rue Anatole France, 69100 Villeurbanne;04 78 68 00 10;http://www.casa-de-carolis.cuisine-fusion.com/
GIOVANNI RISTORANTE;Chez Giovanni tous les plats sont faits maison : ici on est exigeante sur le choix des produits bruts et leur qualité et on s’engage sur la fraîcheur des produits.  L’équipe de Giovanni souhaite partager la passion de la cuisine italienne dans le respect de ses traditions. Antipasti, primi piatti, secondi piatti e dessert de la tradition italienne qu’on peut gouter même à travers les formules !;VILLEURBANNE;Restaurant;143 Rue Louis Becker, 69100 Villeurbanne;09 61 45 51 80;http://giovanni-ristorante.com/
VIA ROMA;Via Roma est un restaurant situé à Villeurbanne, qu’on visite pour un repas italien simple et dans une ambiance sympa. Les pizzas sont cuites au feu de bois, les salades sont généreuses : c´est un véritable petit bout d´Italie à quelques minutes de Lyon.;VILLEURBANNE;Restaurant;14 Rue Paul Verlaine, 69100 Villeurbanne;09 75 95 27 54;https://fr-fr.facebook.com/pages/Via-Roma/197679863617644
LA ROCCASECCA;Pizzeria situé à Villeurbanne.;VILLEURBANNE;Restaurant;7 Rue des Antonins, 69100 Villeurbanne;04 72 44 31 29;https://it-it.facebook.com/pages/category/Pizza-Place/Le-Roccasecca-1004265469627153/
La caveja de Lyon;La Caveja de Lyon est un restaurant italien situé à Villeurbanne qui propose les plats typiques italiens : arancini, tartines à base de sauce à la truffe et aux champignons, charcuterie italienne, mozzarella et ricotta de buffle, Baba au Rhum et crème au chocolat accompagné par un verre de crème ou melon ou liqueur à la réglisse ou à la fraise et encore vins italiens comme Aglianico rosé ou Greco brut D.O.C.;Villeurbanne;Restaurant;76 Cours de la République, 69100 Villeurbanne;06 70 48 65 14;https://fr-fr.facebook.com/spazialone
En Direct d'Italie ;En Direct d’Italie, dans ses deux magasins à Lyon et à Grenoble et en ligne, s’occupe d’importation-distribution des produits d’Italie : plus d’une centaine de pâtes différentes, fromages, vins, sauces, antipasti, apéritifs, liqueurs, confiseries, biscuits, etc.;VILLEURBANNE;Epicerie;2 Avenue Roger Salengro, 69100 Villeurbanne;04 72 43 97 09;http://www.comptoir-produits-italiens.fr/
Da Mario;Pizzeria et restaurant qui propose les plats typiques de la tradition italienne, situé à Villeurbanne. ;Villeurbanne;Pizzeria restaurant;2 Bis Cours de la République, 69100 Villeurbanne;04 72 44 04 15;https://www.facebook.com/pages/category/Pizza-Place/Pizzeria-Ristorante-Da-Mario-736362466554076/
Casa della Focaccia, Food truck;Food truck qui propose bien sur la focaccia, mais aussi les plats typiques de la tradition italienne : arancini, cannelloni, pizza, tiramisu etc.  ;;Food Truck;112 Avenue Franklin Roosevelt, Vaulx-en-Velin;06 59 83 36 85;https://www.facebook.com/casadellafocaccia69
Ristorante Parmigianino;Restaurant et pizzeria qui propose les plats typiques de la tradition italienne. ;;Restaurant;75 Grande Rue de St Clair, 69300 Caluire-et-Cuire;04 72 05 39 61;https://www.facebook.com/parmigianino.caluire/
La Trattoria;Entre amis, en amoureux ou en famille, La Trattoria est la pizzeria idéale pour apprécier de bons plats italiens et partager un bon moment. Vous serez accueillis à Sathonay-Camp dans une ambiance chaleureuse, en salle ou en terrasse pendant les beaux jours.;;Ristorante;10 Rue de la République, 69580 Sathonay-Camp;04 78 23 61 12;http://www.latrattoria.fr
La Boite Noire-Restaurant Italien;Avec trois adresses à Lyon, La Boite Noire vous propose la pizza à déguster sur place ou à emporter. La mozzarella di Bufala et le Fior di latte viennent d’Italie : fraîcheur garantie, appellation D.O.P. !;;pizzeria;2 Rue de la Liberté, 69160 Tassin-la-Demi-Lune;04 74 71 34 74;http://www.laboitenoirepizzeria.com/
Qui grocerie;Qui est une épicerie gourmet qui propose les ingrédients de qualité de la cuisine italienne. Le concept est lié à la cuisine de Pouilles, et l’histoire de cet endroit est guidée par la passion pour les anciennes traditions de la cuisine de la botte. Vous pouvez acheter les produits en boutique ou les commander de chez vous.;;Epicerie;44 Route de Saint-Romain, 69660 Collonges-au-Mont-d'Or;06 95 03 78 23;http://quigrocery.com
Bistrot de la Botte;Le Bistrot de la Botte, c'est un bar à vin dans le 5ème arrondissement de Lyon. Selon vos envies ou votre humeur, on vous aiguille sur le choix de votre vin, de petits et grands vignerons pour tous les budgets. Dans un lieu authentique, murs en pierre et plafonds à la française, vous pouvez vous installer sur les canapés, les petites tables ou les grandes tables d'hôte pour une ambiance la plus conviviale possible. L’équipe a sélectionné des produits d’exception pour vous proposer des planches de qualité : Jambon à la truffe, jambon de parme 750 jours de séchage en caves, etc…. l’accent est sur la qualité.;Lyon 5 ;Bistrot;8 rue Monseigneur Lavarenne - 69005 Lyon ;04 72 16 26 37 ;http://bistrotdelabotte.fr/
Max Market;Eliseo vous accueille dans son épicerie et il vous propose les produits italiens de qualité : charcuterie, fromages, vins, pates etc. ;Craponne;;20 Avenue Edouard Millaud, 69290, Craponne;04 78 48 76 49 ;
Bella Ciao;Bella Ciao est un restaurant situé à Villeurbanne qui vous propose des pizzas et des plats du jour (le midi uniquement) préparés avec des produits en provenance directe d'Italie.;Villeurbanne;Restaurant;317 Cours Emile Zola, 69100 Villeurbanne ;04 72 41 32 66 ;https://www.facebook.com/bellaciao69/
